ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.55098383069,5881.370233454593,23934.800090463614
2014-02-28,5778.6508331609075,-4415.625149744379,15017.186722223269
2014-03-31,41875.53924752932,32365.692134180983,50521.99846203848
2014-04-30,25662.62128692329,16581.291986562115,35216.50741503304
2014-05-31,25711.964323167107,15521.730192663523,35469.33252194553
2014-06-30,26711.789135200997,17318.170636116927,35523.95922957864
2014-07-31,26438.19426566804,17368.829495130212,35575.09149509757
2014-08-31,30856.688534547626,22116.60685002406,40653.4068770076
2014-09-30,67620.93155913173,58595.2551436695,77283.7760495341
2014-10-31,36077.50434361773,26632.391209006142,44850.17720344362
2014-11-30,78301.3868299936,69059.14482812343,87795.75474620158
2014-12-31,69991.5187612395,60578.89008470507,79143.79389220879
2015-01-31,18738.336887528196,8909.093821869825,28284.458422272655
2015-02-28,13880.831822181186,4804.175462146362,23157.875045415945
2015-03-31,49598.83133681748,40710.05657749913,59213.77410872879
2015-04-30,34575.92268591799,25497.331111988806,44531.32965348899
2015-05-31,26387.6574946234,17185.613229371895,35120.79690179593
2015-06-30,31085.988086595105,22079.88057502993,40733.38172715744
2015-07-31,33255.78933378847,23219.99325661423,41819.18503862346
2015-08-31,40664.3971039778,31386.50003192796,49954.74875397114
2015-09-30,76491.8894533875,66915.14310350094,85591.56642149687
2015-10-31,35984.306770699804,26604.74336779702,45520.362719292156
2015-11-30,86921.2435485156,77243.40657625528,96195.03337351578
2015-12-31,75920.5514785749,66746.59136576606,84649.91792070377
2016-01-31,23165.288927454323,14200.081169952797,32370.871573510674
2016-02-29,14902.1907187277,5735.553031486663,24576.025324051436
2016-03-31,51724.015498077606,42349.47110348201,61028.65979113197
2016-04-30,33016.19322727104,23624.6140090165,41607.56554848272
2016-05-31,49868.2716391935,40198.04095150857,59207.97195304285
2016-06-30,44187.752325149515,34957.54896765491,52799.565549339226
2016-07-31,39287.721939300405,30115.629328191022,48136.26453034187
2016-08-31,37700.41540232349,27505.22304842385,47010.354530713135
2016-09-30,75996.5401130575,67104.16313994557,85446.79065336718
2016-10-31,62955.95813150368,53652.77036536258,71336.5533145511
2016-11-30,88181.84994727826,78765.53892243837,97697.46144595688
2016-12-31,85608.06709794284,76484.33445065505,94492.41031214845
2017-01-31,38211.25041341959,28839.711948689557,48247.37405054712
2017-02-28,25246.80225727714,16415.601652208912,34428.19642121061
2017-03-31,61846.2111071961,52265.71643080872,70382.38733541527
2017-04-30,44535.8989802118,35024.71350191021,53789.62449174978
2017-05-31,53069.883019196626,43396.89778570873,62572.530185290736
2017-06-30,50739.93078613384,40879.82889084897,59607.20163740998
2017-07-31,48243.23962428677,39103.78576732724,57626.57552365355
2017-08-31,49797.26045098822,40651.20109870443,58902.10451011455
2017-09-30,87518.4803844934,78193.61691493387,97088.12905070525
2017-10-31,65271.21414094377,55255.58645473379,74040.83164468002
2017-11-30,99056.46947099977,89299.92432389641,107983.26705928324
2017-12-31,93756.91393915174,84623.82837417013,102497.11642588176
2018-01-31,44491.106008487375,34764.86658558346,54134.19165285404
2018-02-28,35661.33916452223,26508.300993560697,45447.26982136695
2018-03-31,71959.87516606724,62966.50592975216,80937.01866935441
2018-04-30,55942.10003179582,46897.436801186406,66261.23141168874
2018-05-31,56193.09065460008,46921.292093297154,65934.13493244571
2018-06-30,57388.05828992694,47887.94055666874,66087.24488884764
2018-07-31,57316.11100448041,48139.22177098976,66184.13688555956
2018-08-31,61936.25285738923,52456.545850264156,71826.5749680954
2018-09-30,98895.63870645038,89322.03383328258,108617.02387938165
2018-10-31,67553.85907633438,58398.30336882712,76451.61100089572
2018-11-30,109972.88438330585,100051.39921458566,119281.78561244899
2018-12-31,101864.6638978995,92248.29757759439,112040.77842122036
